"Missouri Snowfall Extremes (inches)"
"County ID","County","State","1-Day GHCN ID","1-Day Station","1-Day Value","1-Day Date","1-Day Lat","1-Day Lon","1-Day Elevation","2-Day GHCN ID","2-Day Station","2-Day Value","2-Day Date","2-Day Lat","2-Day Lon","2-Day Elevation","3-Day GHCN ID","3-Day Station","3-Day Value","3-Day Date","3-Day Lat","3-Day Lon","3-Day Elevation"
"MO-001","Adair","Missouri","USC00234544","KIRKSVILLE","18","1967-01-26","40.2058","-92.5747","295.7","USC00234544","KIRKSVILLE","18","1967-01-26","40.2058","-92.5747","295.7","USC00234544","KIRKSVILLE","18","1967-01-26","40.2058","-92.5747","295.7"
"MO-003","Andrew","Missouri","US1MOAW0002","SAVANNAH 04 WNW","9","2011-01-11","39.9415","-94.834","338","US1MOAW0002","SAVANNAH 04 WNW","9","2011-01-11","39.9415","-94.834","338","US1MOAW0002","SAVANNAH 04 WNW","9.9","2010-02-22","39.9415","-94.834","338"
"MO-005","Atchison","Missouri","USW00014945","TARKIO","12.8","1945-02-21","40.4344","-95.3883","318.5","USC00232729","FAIRFAX","20","1998-03-10","40.3389","-95.3911","283.5","USC00232729","FAIRFAX","22.5","1998-03-11","40.3389","-95.3911","283.5"
"MO-007","Audrain","Missouri","USC00235541","MEXICO","20","1934-02-19","39.1756","-91.8861","244.4","USC00235541","MEXICO","20.5","1900-02-27","39.1756","-91.8861","244.4","USC00235541","MEXICO","21.1","1900-02-28","39.1756","-91.8861","244.4"
"MO-009","Barry","Missouri","USC00231383","CASSVILLE RANGER STN","23","1999-03-15","36.6728","-93.8578","408.4","USC00231383","CASSVILLE RANGER STN","23","1999-03-16","36.6728","-93.8578","408.4","USC00231383","CASSVILLE RANGER STN","23","1999-03-17","36.6728","-93.8578","408.4"
"MO-011","Barton","Missouri","US1MOFSA011","LAMAR 03 ESE","19","2011-02-02","37.4925","-94.2683","295","US1MOFSA011","LAMAR 03 ESE","19","2011-02-02","37.4925","-94.2683","295","US1MOFSA011","LAMAR 03 ESE","19","2011-02-02","37.4925","-94.2683","295"
"MO-013","Bates","Missouri","US1MOBS0001","RICH HILL 49 SE","24","2011-02-02","38.0565","-94.289","234.1","US1MOBS0001","RICH HILL 49 SE","26","2011-02-02","38.0565","-94.289","234.1","US1MOBS0001","RICH HILL 49 SE","26","2011-02-02","38.0565","-94.289","234.1"
"MO-015","Benton","Missouri","USC00231748","COLE CAMP 3NW","17","2011-02-02","38.4844","-93.2556","307.2","USC00231748","COLE CAMP 3NW","17","2011-02-03","38.4844","-93.2556","307.2","USC00238738","WARSAW 2","18","1927-12-03","38.25","-93.3667","192"
"MO-017","Bollinger","Missouri","USC00239178","ZALMA 4 E","18","1979-02-25","37.1564","-90.0106","128","USC00239178","ZALMA 4 E","21","1979-02-26","37.1564","-90.0106","128","USC00239178","ZALMA 4 E","21","1979-02-26","37.1564","-90.0106","128"
"MO-019","Boone","Missouri","USC00231482","CENTRALIA","20","1995-01-18","39.2106","-92.1342","270.1","USC00231482","CENTRALIA","20","1995-01-18","39.2106","-92.1342","270.1","USC00231482","CENTRALIA","20","1995-01-18","39.2106","-92.1342","270.1"
