NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Total National Health Expenditures,"27,122","29,060","31,765","34,558","38,245","41,627","45,752","51,186","58,015","65,417","74,077","82,380","92,385","102,654","116,344","132,666","152,028","172,650","193,964","219,685","253,232","293,572","330,935","364,806","401,898","439,877","472,280","514,473","576,649","642,177","718,789","786,094","852,385","915,121","966,681","1,020,639","1,073,967","1,133,418","1,198,935","1,273,674","1,365,700","1,483,050","1,630,619","1,769,870","1,894,120","2,025,927","2,164,385","2,304,990","2,402,016","2,492,470","2,589,394","2,676,178","2,782,804","2,855,822","3,001,434","3,163,647","3,305,581","3,446,492","3,604,511","3,759,123","4,124,005"
     Out of pocket,"12,778","13,193","14,085","15,171","16,669","17,863","18,132","17,985","19,951","21,911","24,208","25,515","27,805","30,737","33,311","36,036","39,281","43,137","46,043","49,929","55,258","61,932","68,606","74,660","82,417","91,566","99,655","105,844","116,236","122,598","133,747","136,739","139,092","140,191","138,193","140,732","145,990","156,039","170,902","180,805","193,476","200,791","219,050","235,051","248,336","264,417","277,900","293,508","299,905","296,506","301,306","310,012","323,020","330,632","340,298","352,917","365,609","372,568","386,536","403,683","388,646"
     Health Insurance,"7,324","8,043","8,785","9,660","10,710","11,722","15,357","20,789","24,010","27,191","31,342","36,205","41,954","47,296","55,229","65,480","77,956","91,595","104,759","120,708","140,211","165,156","187,549","209,166","232,963","254,562","270,210","295,383","332,522","380,373","431,117","484,002","534,342","583,297","627,192","670,991","711,460","747,814","778,501","829,854","901,787","995,610","1,097,822","1,195,579","1,287,690","1,383,819","1,485,812","1,581,435","1,662,699","1,758,063","1,832,326","1,902,166","1,971,262","2,018,651","2,150,175","2,287,588","2,395,797","2,494,482","2,613,343","2,726,359","2,809,278"
          Private Health Insurance,"5,639","6,275","6,963","7,720","8,791","9,772","9,980","10,132","11,462","12,988","15,078","17,318","20,027","22,263","25,353","29,728","36,312","44,173","50,700","58,924","67,103","79,230","91,124","101,553","114,611","126,600","131,589","144,525","170,069","197,878","225,890","246,786","265,944","285,314","298,664","314,851","333,022","349,048","371,135","401,324","440,770","483,118","537,210","588,911","625,809","670,842","705,448","748,247","769,404","794,489","819,861","850,692","877,800","878,867","921,867","975,648","1,029,776","1,079,066","1,130,967","1,165,571","1,151,356"
          Medicare,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,"1,842","4,924","6,218","7,045","7,672","8,443","9,325","10,730","13,428","16,336","19,694","22,891","26,668","30,922","37,387","44,769","52,351","59,559","66,207","71,829","76,829","83,081","88,965","101,137","110,182","120,617","135,996","149,965","167,670","184,393","198,750","210,376","209,420","213,173","224,829","247,686","265,381","282,668","311,122","339,762","403,692","432,749","466,969","498,627","519,535","544,596","568,339","588,885","617,558","647,887","675,733","704,775","749,416","801,354","829,484"
          Medicaid (Title XIX),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,"1,304","3,141","3,541","4,174","5,290","6,695","8,314","9,423","11,073","13,446","15,188","17,464","19,465","22,332","26,032","30,307","32,011","35,266","38,233","40,937","45,383","50,339","55,080","61,952","73,661","93,211","108,186","122,373","134,414","144,862","152,170","160,849","169,013","183,471","200,383","224,132","248,100","268,963","290,743","309,351","306,680","325,856","344,397","374,709","397,365","406,747","422,737","444,976","498,159","542,995","564,872","578,551","596,419","614,396","671,190"
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,632,"1,525","1,835","2,298","2,842","3,810","4,547","4,933","6,277","7,409","9,153","9,896","10,919","12,705","14,521","16,902","17,843","19,587","21,096","22,594","25,187","27,868","30,995","35,077","42,607","56,847","68,602","76,961","81,052","85,945","91,099","94,954","98,649","107,154","116,848","132,213","145,256","160,794","172,317","177,513","173,945","185,559","203,209","247,532","266,459","247,281","243,279","256,691","305,939","342,795","357,844","361,416","372,218","387,318","460,017"
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,672,"1,616","1,707","1,877","2,447","2,886","3,766","4,490","4,797","6,037","6,036","7,568","8,547","9,627","11,511","13,405","14,168","15,679","17,137","18,343","20,196","22,471","24,085","26,876","31,054","36,364","39,585","45,412","53,363","58,917","61,071","65,896","70,364","76,317","83,535","91,919","102,845","108,169","118,426","131,838","132,736","140,296","141,188","127,177","130,906","159,466","179,458","188,285","192,220","200,200","207,028","217,135","224,201","227,078","211,173"
          CHIP (Title XIX and Title XXI),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,399,"1,723","3,012","4,169","5,494","6,296","7,167","7,566","8,366","9,123","10,211","11,106","11,540","11,988","12,624","13,497","13,212","14,748","16,778","18,079","18,639","19,938","21,314"
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,276,"1,199","2,097","2,915","3,838","4,410","4,982","5,254","5,756","6,320","7,126","7,812","8,052","8,375","8,777","9,354","9,216","10,984","15,251","16,502","17,216","17,976","17,778"
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,123,524,915,"1,254","1,655","1,887","2,185","2,313","2,610","2,803","3,085","3,293","3,489","3,612","3,847","4,143","3,996","3,764","1,527","1,577","1,423","1,962","3,536"
         Department of Defense,788,836,860,925,861,831,"1,078","1,324","1,445","1,499","1,582","1,766","1,997","2,235","2,475","2,590","2,695","2,922","3,067","3,457","3,949","4,588","5,158","5,393","5,842","6,864","7,634","8,202","8,778","9,272","10,446","11,536","11,621","12,025","11,833","12,045","11,951","12,053","12,201","12,654","13,709","15,424","18,856","22,224","24,898","26,496","29,765","32,262","34,031","36,670","38,301","39,973","40,003","39,586","41,449","41,622","41,190","41,877","41,729","42,820","43,764"
         Department of Veterans Affairs,897,933,961,"1,015","1,058","1,119","1,153","1,268","1,344","1,484","1,719","1,983","2,291","2,646","2,900","3,381","4,066","4,146","4,859","5,073","5,740","6,261","6,905","7,396","8,070","8,332","8,775","9,236","9,629","10,134","10,939","11,852","12,594","13,621","14,612","14,840","15,567","15,488","16,333","17,509","19,082","21,083","22,782","26,517","27,951","29,802","31,861","33,198","37,686","42,463","45,723","48,170","49,758","52,840","57,931","64,688","67,449","72,134","76,172","82,281","92,169"
     Other Third Party Payers and Programs,"4,081","4,541","4,938","5,461","5,946","6,660","6,563","6,333","7,227","8,158","9,427","10,171","10,911","12,071","13,759","15,466","17,545","19,726","22,671","26,183","30,762","35,459","39,459","42,437","45,748","51,393","57,722","64,004","72,745","77,708","85,371","91,177","97,474","103,970","108,095","112,346","117,053","123,079","133,532","137,878","141,735","149,883","160,092","176,456","186,229","194,908","206,784","217,865","211,579","216,509","227,940","230,825","248,173","261,946","267,040","274,550","288,109","303,119","316,309","329,185","509,702"
         Worksite Health Care,62,66,71,78,87,97,110,128,147,171,196,217,246,281,327,373,448,530,617,719,826,953,"1,041","1,156","1,306","1,393","1,522","1,685","1,867","2,035","2,228","2,343","2,484","2,610","2,731","2,863","2,975","3,112","3,220","3,323","3,518","3,655","3,775","3,925","4,102","4,282","4,389","4,542","4,537","4,564","4,697","4,886","5,157","5,352","5,680","6,167","6,658","6,921","7,192","7,566","5,416"
         Other Private Revenues,486,542,600,676,774,896,"1,000","1,113","1,370","1,582","1,912","2,183","2,579","2,768","3,110","3,467","4,831","5,613","6,859","8,107","10,676","13,176","15,656","17,479","19,769","22,925","25,230","27,633","32,573","35,038","37,460","40,225","43,271","46,754","48,927","53,684","58,134","63,150","71,212","73,943","74,071","73,946","77,733","86,086","91,573","96,581","106,825","115,804","108,711","115,668","124,218","123,180","137,220","146,075","148,993","153,802","166,459","181,182","190,310","200,658","204,911"
