StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q146_1,Q146_2,Q146_3,Q146_4,UTIL_1,UTIL_2,UTIL_3,UTIL_4,UTIL_5,UTIL_6,DEON_1,DEON_2,DEON_3,DEON_4,DEON_5,DEON_6,Post_Int_1_10,Post_Int_2_1,Post_Int_3_1,Post_Int_4_1,Q114_1,Q114_2,Q114_3,Q114_4,Q116_10,Q117_1,Q118_1,Q119_1,Q121_1,Q121_2,Q121_3,Q121_4,High_Like_Free_R,High_Hard_Free_R,Pol_High_1,Age_High,Gender_High,Race_High,School_High,Q163_10,Q164_1,Q165_1,Q166_1,Q169_1,Q169_2,Q169_3,Q169_4,Q171_10,Q172_1,Q173_1,Q174_1,Q176_1,Q176_2,Q176_3,Q176_4,Low_Like_Free_R,Low_Hard_Free_R,Pol_Low_1,Age_Low,Gender_Low,Race_Low,School_Low,SILS_1_1,SNS_1_1,SNS_2_1,SNS_3_1,SNS_4_1,SNS_5_1,SNS_6_1,SNS_7_1,SNS_8_1,NZ1_A_5,NZ1_A_6,NZ1_A_17,NZ1_A_24,NZ1_A_25,NZ1_B_5,NZ1_B_6,NZ1_B_17,NZ1_B_24,NZ1_B_25,NZ5_A_5,NZ5_A_6,NZ5_A_17,NZ5_A_24,NZ5_A_25,NZ5_B_5,NZ5_B_6,NZ5_B_17,NZ5_B_24,NZ5_B_25,RNS_1,RNS_2,RNS_3,RNS_4,RNS_5,RNS_6,RNS_7,RNS_8,id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Again, please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Greenhouse gas emissions generated by human activity has and will continue to change Earth's climate","Again, please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Our government needs to implement Universal Health Care because basic population needs are not being met","Again, please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Capital Punishment (the Death Penalty) is necessary in America","Again, please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Slavery, forced labor and human trafficking are violations of human rights","Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - When people disagree over ethical matters, I strive for workable compromises","Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - When thinking of ethical problems, I try to develop practical, workable alternatives",Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - It is of value to societies to be responsive and adapt to new conditions as the world changes,Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Solutions to ethical problems usually are seen as some shade of grey,"Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - When making an ethical decision, one should pay attention to others' needs, wants, and desires",Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - The purpose of the government should be to promote the best possible life for it's citizens,Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Solutions to ethical problems are usually black and white,Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - A person's actions should be described in terms of being right or wrong,"Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - A nation should pay the most attention to it's heritage, it's roots",Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Societies should follow stable traditions and maintain a distinctive identity,Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Uttering a falsehood is wrong because it wouldn't be right for anyone to lie,Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Unethical behavior is best described as a violation of some principle of the law,"""Greenhouse gas emissions generated by human activity has and will continue to change Earth's climate""","""Our government needs to implement Universal Health Care because basic population needs are not being met""","""Capital Punishment (the Death Penalty) is necessary in America""","""Slavery, forced labor and human trafficking are violations of human rights""","Please answer the following questions by selecting the choice that best reflects your level of surprise at the results of the public survey - ""Greenhouse gas emissions generated by human activity has and will continue to change Earth's climate.""","Please answer the following questions by selecting the choice that best reflects your level of surprise at the results of the public survey - ""The US government needs to implement Universal Health Care because basic population needs are not being met.""","Please answer the following questions by selecting the choice that best reflects your level of surprise at the results of the public survey - ""Capital Punishment (the Death Penalty) is necessary in the US.""","Please answer the following questions by selecting the choice that best reflects your level of surprise at the results of the public survey - ""Slavery, forced labor, and human trafficking are violations of human rights.""","""Greenhouse gas emissions generated by human activity has and will continue to change Earth's climate""","""Our government needs to implement Universal Health Care because basic population needs are not being met""","""Capital Punishment (the Death Penalty) is necessary in America""","""Slavery, forced labor and human trafficking are violations of human rights""","Again, please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Greenhouse gas emissions generated by human activity has and will continue to change Earth's climate","Again, please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Our government needs to implement Universal Health Care because basic population needs are not being met","Again, please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Capital Punishment (the Death Penalty) is necessary in America","Again, please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Slavery, forced labor and human trafficking are violations of human rights",What are things you liked about the exercise you just completed?,What are challenges you had with the exercise you just completed?,"In politics people
sometimes talk of ‘left’ and ‘right’. Where would you place yourself on a scale from 1 to 11 where 1 means extreme left and 11 means extreme right? - Left:Right",What is your age?,To which gender identity do you most identify?,How would you best characterize your race/ethnicity? (check all that apply),What is your year in school?,"""Greenhouse gas emissions generated by human activity has and will continue to change Earth's climate""","""Our government needs to implement Universal Health Care because basic population needs are not being met""","""Capital Punishment (the Death Penalty) is necessary in America""","""Slavery, forced labor and human trafficking are violations of human rights""","Please answer the following questions by selecting the choice that best reflects your level of surprise at the results of the public survey - ""Greenhouse gas emissions generated by human activity has and will continue to change Earth's climate.""","Please answer the following questions by selecting the choice that best reflects your level of surprise at the results of the public survey - ""The US government needs to implement Universal Health Care because basic population needs are not being met.""","Please answer the following questions by selecting the choice that best reflects your level of surprise at the results of the public survey - ""Capital Punishment (the Death Penalty) is necessary in the US.""","Please answer the following questions by selecting the choice that best reflects your level of surprise at the results of the public survey - ""Slavery, forced labor, and human trafficking are violations of human rights.""","""Greenhouse gas emissions generated by human activity has and will continue to change Earth's climate""","""Our government needs to implement Universal Health Care because basic population needs are not being met""","""Capital Punishment (the Death Penalty) is necessary in America""","""Slavery, forced labor and human trafficking are violations of human rights""","Again, please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Greenhouse gas emissions generated by human activity has and will continue to change Earth's climate","Again, please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Our government needs to implement Universal Health Care because basic population needs are not being met","Again, please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Capital Punishment (the Death Penalty) is necessary in America","Again, please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Slavery, forced labor and human trafficking are violations of human rights",What are things you liked about the exercise you just completed?,What are challenges you had with the exercise you just completed?,"In politics people
sometimes talk of ‘left’ and ‘right’. Where would you place yourself on a scale from 1 to 11 where 1 means extreme left and 11 means extreme right? - Left:Right",What is your age?,To which gender identity do you most identify?,How would you best characterize your race/ethnicity? (check all that apply),What is your year in school?,Please answer the following question by selecting the choice that best reflects how good you are at doing the following task - How confident are you filling out medical forms by yourself?,How good are you at working with fractions?,How good are you at working with percentages?,How good are you at calculating a 15% tip?,How good are you at figuring how much a shirt will cost if it is 25% off?,"When reading the newspaper, how helpful do you find tables and graphs that are parts of a story?","When people tell you the chance of something happening, do you prefer that they use words (""it rarely happens"") or numbers (""there's a 1% chance"")?","When you hear a weather forecast, do you prefer predictions using percentages (e.g., ""there will be a 20% chance of rain today"") or predictions using only words (e.g., ""there is a small chance of rain today"")?",How often do you find numerical information to be useful?,Please place each fractional number where you believe it should be on the number line (0 to 1) - 1/19,Please place each fractional number where you believe it should be on the number line (0 to 1) - 1/7,Please place each fractional number where you believe it should be on the number line (0 to 1) - 1/4,Please place each fractional number where you believe it should be on the number line (0 to 1) - 3/8,Please place each fractional number where you believe it should be on the number line (0 to 1) - 1/2,Please place each fractional number where you believe it should be on the number line (0 to 1) - 4/7,Please place each fractional number where you believe it should be on the number line (0 to 1) - 2/3,Please place each fractional number where you believe it should be on the number line (0 to 1) - 7/9,Please place each fractional number where you believe it should be on the number line (0 to 1) - 5/6,Please place each fractional number where you believe it should be on the number line (0 to 1) - 12/13,Please place each fractional number where you believe it should be on the number line (0 to 5) - 1/19,Please place each fractional number where you believe it should be on the number line (0 to 5) - 4/7,Please place each fractional number where you believe it should be on the number line (0 to 5) - 7/5,Please place each fractional number where you believe it should be on the number line (0 to 5) - 13/9,Please place each fractional number where you believe it should be on the number line (0 to 5) - 8/3,Please place each fractional number where you believe it should be on the number line (0 to 5) - 11/4,Please place each fractional number where you believe it should be on the number line (0 to 5) - 10/3,Please place each fractional number where you believe it should be on the number line (0 to 5) - 7/2,Please place each fractional number where you believe it should be on the number line (0 to 5) - 17/4,Please place each fractional number where you believe it should be on the number line (0 to 5) - 9/2,"If it takes ﬁve machines 5 minutes to make ﬁve
widgets, how long would it take 100 machines to make 100 widgets?","A bat and a ball cost $1.10 in total. The bat
costs $1.00 more than the ball. How much does the ball cost?","In the ACME PUBLISHING SWEEPSTAKES, the chance
of winning a car is 1 in 1000. What percent of tickets of ACME PUBLISHING
SWEEPSTAKES win a car?","In the BIG BUCKS LOTTERY, the chances of winning
a $10.00 prize are 1%. What is your best guess about how many people would win
a $10.00 prize if 1000 people each buy a single ticket from BIG BUCKS?","Imagine that we roll a fair, six-sided die 1000
times. Out of 1000 rolls, how many times do you think the die would come up as
an even number?","If the chance of getting a disease is 20 out of
100, this would be the same as having a _____% chance of getting the disease","If the chance of getting a disease is 10%, how
many people would be expected to get the 

disease out of 1000?","Suppose you have a close friend
who has a lump in her breast and must have a mammogram. Of 100 women like her,
10 of them actually have a malignant tumor and 90 of them do not.
Of the 10
women who actually have a tumor, the mammogram indicates correctly that 9 of
them have a tumor and indicates incorrectly that 1 of them does not.
Of the 90
women who do not have a tumor, the mammogram indicates correctly that 81 of
them do not have a tumor and indicates incorrectly that 9 of them do have a
tumor. 
The following table summarizes the information provided. Imagine that
your friend tests positive (as if she has a tumor). What is the likelihood that
she actually has a tumor?",id
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID185_1""}","{""ImportId"":""QID185_2""}","{""ImportId"":""QID185_3""}","{""ImportId"":""QID185_4""}","{""ImportId"":""QID146_1""}","{""ImportId"":""QID146_2""}","{""ImportId"":""QID146_3""}","{""ImportId"":""QID146_4""}","{""ImportId"":""QID146_5""}","{""ImportId"":""QID146_6""}","{""ImportId"":""QID149_1""}","{""ImportId"":""QID149_2""}","{""ImportId"":""QID149_3""}","{""ImportId"":""QID149_4""}","{""ImportId"":""QID149_5""}","{""ImportId"":""QID149_6""}","{""ImportId"":""QID73_10""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID153_1""}","{""ImportId"":""QID153_2""}","{""ImportId"":""QID153_3""}","{""ImportId"":""QID153_4""}","{""ImportId"":""QID155_10""}","{""ImportId"":""QID156_1""}","{""ImportId"":""QID157_1""}","{""ImportId"":""QID158_1""}","{""ImportId"":""QID160_1""}","{""ImportId"":""QID160_2""}","{""ImportId"":""QID160_3""}","{""ImportId"":""QID160_4""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID135_TEXT""}","{""ImportId"":""QID186_1""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID163_10""}","{""ImportId"":""QID164_1""}","{""ImportId"":""QID165_1""}","{""ImportId"":""QID166_1""}","{""ImportId"":""QID169_1""}","{""ImportId"":""QID169_2""}","{""ImportId"":""QID169_3""}","{""ImportId"":""QID169_4""}","{""ImportId"":""QID171_10""}","{""ImportId"":""QID172_1""}","{""ImportId"":""QID173_1""}","{""ImportId"":""QID174_1""}","{""ImportId"":""QID176_1""}","{""ImportId"":""QID176_2""}","{""ImportId"":""QID176_3""}","{""ImportId"":""QID176_4""}","{""ImportId"":""QID178_TEXT""}","{""ImportId"":""QID179_TEXT""}","{""ImportId"":""QID187_1""}","{""ImportId"":""QID181_TEXT""}","{""ImportId"":""QID182""}","{""ImportId"":""QID183""}","{""ImportId"":""QID184""}","{""ImportId"":""QID133_4""}","{""ImportId"":""QID99_1""}","{""ImportId"":""QID100_1""}","{""ImportId"":""QID101_1""}","{""ImportId"":""QID102_1""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID105_1""}","{""ImportId"":""QID106_1""}","{""ImportId"":""QID107_1""}","{""ImportId"":""QID120_5""}","{""ImportId"":""QID120_6""}","{""ImportId"":""QID120_17""}","{""ImportId"":""QID120_24""}","{""ImportId"":""QID120_25""}","{""ImportId"":""QID130_5""}","{""ImportId"":""QID130_6""}","{""ImportId"":""QID130_17""}","{""ImportId"":""QID130_24""}","{""ImportId"":""QID130_25""}","{""ImportId"":""QID131_5""}","{""ImportId"":""QID131_6""}","{""ImportId"":""QID131_17""}","{""ImportId"":""QID131_24""}","{""ImportId"":""QID131_25""}","{""ImportId"":""QID132_5""}","{""ImportId"":""QID132_6""}","{""ImportId"":""QID132_17""}","{""ImportId"":""QID132_24""}","{""ImportId"":""QID132_25""}","{""ImportId"":""QID109_TEXT""}","{""ImportId"":""QID110_TEXT""}","{""ImportId"":""QID111_TEXT""}","{""ImportId"":""QID112_TEXT""}","{""ImportId"":""QID113_TEXT""}","{""ImportId"":""QID114_TEXT""}","{""ImportId"":""QID115_TEXT""}","{""ImportId"":""QID116_TEXT""}","{""ImportId"":""id""}"
2023-02-24 12:37:55,2023-02-24 12:47:13,1,,100,557,1,2023-02-24 12:47:14,R_1oeeP24D7VnC05p,,,,,38.9336,-92.363,preview,EN,,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,10,14,16,12,5,5,5,5,28,22,18,27,,,,,H,H,,18,,,,5,2,2,2,2,2,2,2,2,0.049,0.151,0.305,0.436,0.544,0.695,0.643,0.807,0.885,0.961,0.721,0.803,0.443,0.623,0.377,0.639,0.508,0.443,0.623,0.426,,,,,,,,,
2023-02-27 12:53:44,2023-02-27 13:16:12,1,,100,1348,1,2023-02-27 13:16:14,R_uh4nLxJaxBIfpWF,,,,,38.9336,-92.363,preview,EN,,,,,5,5,5,5,5,5,5,5,5,5,5,5,52,50,50,52,1,1,1,1,80,82,82,81,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,2,2,2,3,2,2,0.076,0.213,0.296,0.487,0.587,0.407,0.654,0.742,0.827,0.892,0.331,1.092,2.43,3.373,3.542,0.458,0.711,0.901,0.817,1.296,,,,,,,,,
2023-02-27 14:55:11,2023-02-27 15:14:57,1,,100,1186,1,2023-02-27 15:14:58,R_OrKcqJ7CZOGsQ3T,,,,,38.9361,-92.3056,preview,EN,,,,,4,4,5,3,4,5,2,2,3,3,2,4,35,83,56,72,3,2,5,2,68,97,42,96,,,,,Seeing the actual percentages of how the public thought in 2018 after making a guess at the percentages from that year.,Thinking back a few years and trying to consider how the public felt about the issues mentioned.,,20,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,3,5,5,5,4,4,0.018,0.124,0.218,0.299,0.524,0.421,0.635,0.727,0.815,0.913,0.141,0.528,1.162,1.592,2.106,2.141,2.859,3.148,3.965,4.289,,,,,,,,,
2023-06-15 19:00:55,2023-06-15 19:14:46,0,173.24.32.167,100,830,1,2023-06-15 19:14:47,R_diMUQ3TjoEyob61,,,,,38.9336,-92.363,anonymous,EN,100,100,10,100,5,5,3,4,3,5,3,3,2,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,60,70,40,60,5,1,2,1,60,40,30,100,100,100,1,100,"I liked the additional information of what the actual statistics were back in 2018. It gives some insight to what life was actually like back then without the haze of nostalgia. I was in Highschool so those issues weren't as front and center in my life as I remembered (I took my government class in my freshmen year back in 2016 and my US history in 2018). ","COVID really altered what life was like back then. For instance, my friends and I watched a Vine compilation (internet videos before tik tok came to life) and they mentioned movies and pop culture that I viewed were much more recent than it actually was. So, my perception of reality was skewed a bit",,21,1,1,4,5,5,4,2,5,4,4,1,4,0.07,0.182,0.287,0.415,0.528,0.611,0.675,0.732,0.765,0.823,0.19,0.246,1.099,1.056,1.782,2.246,1.549,2.613,3.761,4.317,,,,,,,,,
2023-06-16 12:01:49,2023-06-16 12:19:41,0,107.116.7.116,100,1072,1,2023-06-16 12:19:42,R_1CxbFKqQaU8bkvJ,,,,,38.5774,-90.6709,anonymous,EN,100,88,100,100,5,5,4,3,4,4,2,2,3,3,3,3,100,86,100,100,3,1,1,1,88,80,98,100,100,93,89,100,I enjoyed how we went back and forth from the past with the statements.,The challenges with the exercises I completed was to determine what was true and false.,,19,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,6,5,4,6,1,6,0.037,0.138,0.292,0.372,0.489,0.366,0.714,0.726,0.726,0.837,0.492,3.569,2.523,2.554,2.046,2.062,2.708,2.662,3.8,3.646,,,,,,,,,
2023-06-19 11:37:14,2023-06-19 11:47:10,0,68.119.252.145,100,596,1,2023-06-19 11:47:11,R_1FaG3ilkrqJQ9es,,,,,38.783,-90.6351,anonymous,EN,70,79,15,100,4,4,4,5,4,4,2,3,2,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,60,80,48,90,4,4,3,1,68,75,30,100,65,70,15,100,I liked hearing about how people of the past responded to these questions.,None,,20,1,1,3,4,5,4,2,3,4,4,3,4,0.039,0.13,0.263,0.366,0.496,0.431,0.676,0.794,0.859,0.938,0.07,0.542,0.986,1.282,2.43,2.887,3.458,3.599,4.289,4.641,,,,,,,,,
2023-06-19 13:29:48,2023-06-19 13:41:53,0,174.86.178.0,100,725,1,2023-06-19 13:41:54,R_RqK9GMCQFin0IXn,,,,,38.763,-90.5474,anonymous,EN,100,50,34,100,3,4,5,5,4,5,1,1,2,3,2,1,55,45,34,76,1,3,1,1,86,90,70,99,80,45,44,100,It was plainly agree or disagree on a scale which is easy to show what I think about the issue.,After seeing what other people thought about these issues it influenced a change on what I would have originally put.,,22,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,5,2,3,4,5,5,3,3,5,0.027,0.173,0.258,0.214,0.504,0.593,0.644,0.693,0.692,0.859,0.021,0.254,1.113,1.028,2.732,2.718,3.127,3.289,4.028,4.592,,,,,,,,,
2023-06-19 17:09:29,2023-06-19 17:21:00,0,35.129.216.204,100,691,1,2023-06-19 17:21:01,R_2SoSu0KRLW8uZnB,,,,,38.7472,-90.7247,anonymous,EN,58,84,0,100,3,4,4,3,4,4,3,2,2,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,29,18,63,0,1,2,1,1,41,45,31,100,54,72,0,100,that it asked me the percentage I thought agreed with the statements and showed me what the actual percentage was because I didn't know.,how the ethical and unethical questions were stated.,,20,2,1,3,3,2,2,1,2,1,1,6,2,0.03,0.128,0.239,0.323,0.494,0.623,0.7,0.79,0.863,0.948,0.07,0.415,0.859,1.162,1.838,1.627,2.12,2.627,3.268,3.93,,,,,,,,,
