StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q298_1,Q336_1,Q334_1,Q208_1,Q208_5,Q208_6,Q208_7,Q208_8,Q208_9,Q208_10,Q216_1,Q337_1,Q339_1,Q195_1,Q195_5,Q195_6,Q195_7,Q195_8,Q195_9,Q195_10,Q305_1,Q338_1,Q340_1,Q304_1,Q304_5,Q304_6,Q304_7,Q304_8,Q304_9,Q304_10,Q4_1,Q323_1,Q324_1,Q9_1,Q9_2,Q9_3,Q12_1,Q13_1,Q326_1,Q448_1,Q449_1,Q450_1,Q453_1,Q453_2,Q453_3,Q455_1,Q456_1,Q457_1,Q412_1,Q413_1,Q413_5,Q413_6,Q413_7,Q413_8,Q413_9,Q413_10,Q414_1,Q415_1,Q415_5,Q415_6,Q415_7,Q415_8,Q415_9,Q415_10,Q418_1,Q419_1,Q419_5,Q419_6,Q419_7,Q419_8,Q419_9,Q419_10,Like_Free_R,Hard_Free_R,Pol_High_1,Age_High,Gender_High,Race_High,School_High,Debrief,id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - When people disagree over ethical matters, I strive for workable compromises","Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - When thinking of ethical problems, I try to develop practical, workable alternatives",Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - It is of value to societies to be responsive and adapt to new conditions as the world changes,Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Solutions to ethical problems usually are seen as some shade of grey,"Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - When making an ethical decision, one should pay attention to others' needs, wants, and desires",Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - The purpose of the government should be to promote the best possible life for it's citizens,Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Solutions to ethical problems are usually black and white,Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - A person's actions should be described in terms of being right or wrong,"Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - A nation should pay the most attention to it's heritage, it's roots",Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Societies should follow stable traditions and maintain a distinctive identity,Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Uttering a falsehood is wrong because it wouldn't be right for anyone to lie,Please answer the following questions by selecting the choice that best reflects how much you agree or disagree with the following statements. - Unethical behavior is best described as a violation of some principle of the law,"""Our government needs to implement Universal Health Care because basic population needs are not being met""",How familiar are you with Universal Health Care?,How open are you to changing your mind regarding your beliefs about Universal Health Care?,Please read and answer the following questions carefully - There are very important ethical aspects to universal health care,Please read and answer the following questions carefully - Universal health care clearly does not involve ethics or moral issues,Please read and answer the following questions carefully - Universal health care could be described as a moral issue,Please read and answer the following questions carefully - My beliefs on universal health care are a reflection of my core moral beliefs and convictions,Please read and answer the following questions carefully - My position on universal health care is connected to my fundamental beliefs about right and wrong,Please read and answer the following questions carefully - My position on universal health care is a moral stance,Please read and answer the following questions carefully - My position on universal health care is based on moral principles,"""Capital Punishment (The Death Penalty) is necessary in America""",How familiar are you with Capital Punishment?,How open are you to changing your mind regarding your beliefs about Capital Punishment?,Please read and answer the following questions carefully - There are very important ethical aspects to capital punishment,Please read and answer the following questions carefully - Capital punishment clearly does not involve ethics or moral issues,Please read and answer the following questions carefully - Capital punishment could be described as a moral issue,Please read and answer the following questions carefully - My position on capital punishment is a reflection of my core moral beliefs and convictions,Please read and answer the following questions carefully - My position on capital punishment is connected to my fundamental beliefs about right and wrong,Please read and answer the following questions carefully - My position on capital punishment is a moral stance,Please read and answer the following questions carefully - My position on capital punishment is based on moral principles,"""Americans should be able to use Artificial Intelligence (AI) for job applications""",How familiar are you with Artificial Intelligence (AI)?,How open are you to changing your mind regarding your beliefs about Artificial Intelligence (AI)?,Please read and answer the following questions carefully - There are very important ethical aspects to using AI in the workplace,Please read and answer the following questions carefully - Using AI in the workplace clearly does not involve ethics or moral issues,Please read and answer the following questions carefully - AI in the workplace could be described as a moral issue,Please read and answer the following questions carefully - My position on AI in the workplace is a reflection of my core moral beliefs and convictions,Please read and answer the following questions carefully - My position on AI in the workplace is connected to my fundamental beliefs about right and wrong,Please read and answer the following questions carefully - My position on AI in the workplace is a moral stance,Please read and answer the following questions carefully - My position on AI in the workplace is based on moral principles,"""Our government needs to implement Universal Health Care because basic population needs are not being met""","""Capital Punishment (the Death Penalty) is necessary in America.""","""Americans should be able to use AI for job applications""","Please answer the following questions by selecting the choice that best reflects your level of surprise at the results of the public survey - ""The US government needs to implement Universal Health Care because basic population needs are not being met.""","Please answer the following questions by selecting the choice that best reflects your level of surprise at the results of the public survey - ""Capital Punishment (the Death Penalty) is necessary in America""","Please answer the following questions by selecting the choice that best reflects your level of surprise at the results of the public survey - ""Americans should be able to use AI for job applications""","""Our government needs to implement Universal Health Care because basic population needs are not being met""","""Capital Punishment (the Death Penalty) is necessary in America""","""Americans should be able to use AI for job applications""","""Our government needs to implement Universal Health Care because basic population needs are not being met""","""Capital Punishment (the Death Penalty) is necessary in America.""","""Americans should be able to use AI for job applications""","Please answer the following questions by selecting the choice that best reflects your level of surprise at the results of the public survey - ""The US government needs to implement Universal Health Care because basic population needs are not being met.""","Please answer the following questions by selecting the choice that best reflects your level of surprise at the results of the public survey - ""Capital Punishment (the Death Penalty) is necessary in America""","Please answer the following questions by selecting the choice that best reflects your level of surprise at the results of the public survey - ""Americans should be able to use AI for job applications""","""Our government needs to implement Universal Health Care because basic population needs are not being met""","""Capital Punishment (the Death Penalty) is necessary in America""","""Americans should be able to use AI for job applications""","""Our government needs to implement Universal Health Care because basic population needs are not being met""",Please read and answer the following questions carefully - There are very important ethical aspects to universal health care,Please read and answer the following questions carefully - Universal health care clearly does not involve ethics or moral issues,Please read and answer the following questions carefully - Universal health care could be described as a moral issue,Please read and answer the following questions carefully - My beliefs on universal health care are a reflection of my core moral beliefs and convictions,Please read and answer the following questions carefully - My position on universal health care is connected to my fundamental beliefs about right and wrong,Please read and answer the following questions carefully - My position on universal health care is a moral stance,Please read and answer the following questions carefully - My position on universal health care is based on moral principles,"""Capital Punishment (the Death Penalty) is necessary in America""",Please read and answer the following questions carefully - There are very important ethical aspects to capital punishment,Please read and answer the following questions carefully - Capital punishment clearly does not involve ethics or moral issues,Please read and answer the following questions carefully - Capital punishment could be described as a moral issue,Please read and answer the following questions carefully - My position on capital punishment is a reflection of my core moral beliefs and convictions,Please read and answer the following questions carefully - My position on capital punishment is connected to my fundamental beliefs about right and wrong,Please read and answer the following questions carefully - My position on capital punishment is a moral stance,Please read and answer the following questions carefully - My position on capital punishment is based on moral principles,"""Americans should be able to use AI for job applications""",Please read and answer the following questions carefully - There are very important ethical aspects to using AI in the workplace,Please read and answer the following questions carefully - Using AI in the workplace clearly does not involve ethics or moral issues,Please read and answer the following questions carefully - AI in the workplace could be described as a moral issue,Please read and answer the following questions carefully - My position on AI in the workplace is a reflection of my core moral beliefs and convictions,Please read and answer the following questions carefully - My position on AI in the workplace is connected to my fundamental beliefs about right and wrong,Please read and answer the following questions carefully - My position on AI in the workplace is a moral stance,Please read and answer the following questions carefully - My position on AI in the workplace is based on moral principles,What are things you liked about the exercise you just completed?,What are challenges you had with the exercise you just completed?,"In politics people
sometimes talk of ‘left’ and ‘right’. Where would you place yourself on a scale from 1 to 11 where 1 means extreme left and 11 means extreme right? - Left:Right",What is your age?,To which gender identity do you most identify?,How would you best characterize your race/ethnicity? (check all that apply),What is your year in school?,"Impact of Moral Conviction on Social Consensus

 
Dear Participant,

 

During this study, you were asked to predict what public approval in 2018 was for several scientific and social issues, as well as to estimate what it would be in current (2024) times. Additionally, we asked you to rate your own level of agreement with the aforementioned issues.

 

You were told that the purpose of the research study was to examine how moral conviction affects the accuracy of recollections. The actual purpose of the study was to investigate how differing levels of moral conviction interacts with the persuasiveness of a social consensus, and if this persuasion results in differing levels of moral conviction or support for these topics.

 

We did not tell you everything at the beginning of the study because we were trying to directly determine if outside perception of greater social consensus would 'over-ride' individual preferences one way or another for greater support of the topics we are looking at. Furthermore, we wanted to know of differing levels of moral conviction on the topic at hand interacted with the strength of the 'social consensus' effect.

 

To describe in a simple way, we thought that if we could get you to believe that the general public was in favor of something (which we did by giving you the false feedback) you may become more likely to favor it. 



On the second point, the effect of moral conviction in and of itself is also of great interest with regards to decision making, but what does that actually mean? In a simple sense, many people can have various reasons for choosing to support one thing or another, but not all reasoning is made equal.



For example: some people would support abortion access simply because that's what the law is where they live - they don't think about it beyond that, and if the law changed, their stance would change. Some other people would support abortion access because that's what their friends, family, and neighbors believe - if they moved somewhere else, or their social circle changed their mind, their stance could change as well! However, there are definitely some people who support abortion access because they feel deep in their hearts, that it is the 'right' thing to do and is worth fighting for.



Interestingly enough, this could go in both directions! There are people who would care to restrict abortion access that could feel that way for all three of these reasons. Some topics are generally more 'morally loaded' than others, and certainly not everyone agrees as to what topics are even up for ethical debate. We designed this experiment to examine if moral conviction is something that we could change, by providing either a highly moral argument, or a pragmatic argument.

 

We predicted that extremely strong moral feelings would prevent people from being affected by social consensus, and that relatively weak moral feelings would result in people being more persuaded by social consensus.

 
Of note, the actual values from real, recent surveys, circa 2017-2021 are provided below for your edification.



63% of the American Public agrees that the US government needs to implement Universal Health Care because basic population needs are not being met.

60% of the American Public agrees that Capital Punishment (the Death Penalty) is necessary in the US.


58% of the American Public agree that Americans should be able to use AI for job applications



We believe that understanding more deeply how moral conviction interacts with the effect of social consensus will move us forward in our ability to influence highly polarized beliefs, as well as expanding our academic understanding of moral decision making more broadly.



Now that you have been told the true purpose of the study, you have the option to have your data removed from the study. Please let the researcher know if you do not want your data to be used in this research and it will be removed.



The responses in this study cannot be linked to you.



We would like you to know that we really appreciate your time in helping with this research and are always happy to answer any questions that you might have about it. If you have any concerns about your participation or the data you provided during the study, please discuss these concerns with us. We will be happy to provide you with any explanations or information to ease your concerns. You can reach me by email at sxdff5@mail.missouri.edu.



Thank you, specifically for your participation. Really, it helps out a ton! - Sean Duan



If you do NOT want your data used for this study, type REFUSE in the text box below

 

If you have questions about your rights as a research participant or want to report a complaint, please contact the Institutional Review Board at the University of Missouri at 573-882-3181, 310 Jesse Hall, Columbia, MO 65211, or at umcresearchcirb@missouri.edu",id
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1716696763_1""}","{""ImportId"":""QID1716696763_2""}","{""ImportId"":""QID1716696763_3""}","{""ImportId"":""QID1716696763_4""}","{""ImportId"":""QID1716696763_5""}","{""ImportId"":""QID1716696763_6""}","{""ImportId"":""QID1716696764_1""}","{""ImportId"":""QID1716696764_2""}","{""ImportId"":""QID1716696764_3""}","{""ImportId"":""QID1716696764_4""}","{""ImportId"":""QID1716696764_5""}","{""ImportId"":""QID1716696764_6""}","{""ImportId"":""QID298_1""}","{""ImportId"":""QID441_1""}","{""ImportId"":""QID439_1""}","{""ImportId"":""QID333_1""}","{""ImportId"":""QID333_5""}","{""ImportId"":""QID333_6""}","{""ImportId"":""QID333_7""}","{""ImportId"":""QID333_8""}","{""ImportId"":""QID333_9""}","{""ImportId"":""QID333_10""}","{""ImportId"":""QID216_1""}","{""ImportId"":""QID442_1""}","{""ImportId"":""QID444_1""}","{""ImportId"":""QID330_1""}","{""ImportId"":""QID330_5""}","{""ImportId"":""QID330_6""}","{""ImportId"":""QID330_7""}","{""ImportId"":""QID330_8""}","{""ImportId"":""QID330_9""}","{""ImportId"":""QID330_10""}","{""ImportId"":""QID410_1""}","{""ImportId"":""QID443_1""}","{""ImportId"":""QID445_1""}","{""ImportId"":""QID409_1""}","{""ImportId"":""QID409_5""}","{""ImportId"":""QID409_6""}","{""ImportId"":""QID409_7""}","{""ImportId"":""QID409_8""}","{""ImportId"":""QID409_9""}","{""ImportId"":""QID409_10""}","{""ImportId"":""QID1716698048_1""}","{""ImportId"":""QID428_1""}","{""ImportId"":""QID429_1""}","{""ImportId"":""QID1716698053_1""}","{""ImportId"":""QID1716698053_3""}","{""ImportId"":""QID1716698053_8""}","{""ImportId"":""QID1716698056_1""}","{""ImportId"":""QID1716698057_1""}","{""ImportId"":""QID431_1""}","{""ImportId"":""QID448_1""}","{""ImportId"":""QID449_1""}","{""ImportId"":""QID450_1""}","{""ImportId"":""QID453_1""}","{""ImportId"":""QID453_3""}","{""ImportId"":""QID453_8""}","{""ImportId"":""QID455_1""}","{""ImportId"":""QID456_1""}","{""ImportId"":""QID457_1""}","{""ImportId"":""QID412_1""}","{""ImportId"":""QID413_1""}","{""ImportId"":""QID413_5""}","{""ImportId"":""QID413_6""}","{""ImportId"":""QID413_7""}","{""ImportId"":""QID413_8""}","{""ImportId"":""QID413_9""}","{""ImportId"":""QID413_10""}","{""ImportId"":""QID414_1""}","{""ImportId"":""QID415_1""}","{""ImportId"":""QID415_5""}","{""ImportId"":""QID415_6""}","{""ImportId"":""QID415_7""}","{""ImportId"":""QID415_8""}","{""ImportId"":""QID415_9""}","{""ImportId"":""QID415_10""}","{""ImportId"":""QID418_1""}","{""ImportId"":""QID419_1""}","{""ImportId"":""QID419_5""}","{""ImportId"":""QID419_6""}","{""ImportId"":""QID419_7""}","{""ImportId"":""QID419_8""}","{""ImportId"":""QID419_9""}","{""ImportId"":""QID419_10""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID135_TEXT""}","{""ImportId"":""QID186_1""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""id""}"
2023-09-17 09:33:05,2023-09-17 09:46:12,IP Address,52.124.39.145,100,786,True,2023-09-17 09:46:13,R_DJjlrKAri0XZEWd,,,,,38.9361,-92.3056,anonymous,EN,Agree,Agree,Strongly Agree,Neither Agree or Disagree,Agree,Strongly Agree,Disagree,Disagree,Neither Agree or Disagree,Disagree,Neither Agree or Disagree,Agree,83,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seeing the percentages of how people felt about these issues in 2018,"All good, no challenges",9,21,Female,Caucasian/White,Junior,,
2023-09-22 13:58:49,2023-09-22 13:58:53,IP Address,161.130.189.208,2,3,False,2023-09-29 13:58:55,R_3CZbzjBZcuBAvjt,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11 14:50:46,2024-09-11 14:56:32,Survey Preview,,100,346,True,2024-09-11 14:56:33,R_57yaaeSXuGeu0jD,,,,,38.9336,-92.363,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-23 08:29:33,2024-09-23 08:39:36,IP Address,161.130.189.202,100,602,True,2024-09-23 08:39:36,R_7jeUBIz9800HD9o,,,,,38.9361,-92.3056,anonymous,EN,Neither Agree or Disagree,Agree,Strongly Agree,Neither Agree or Disagree,Neither Agree or Disagree,Strongly Agree,Neither Agree or Disagree,Disagree,Disagree,Strongly Disagree,Neither Agree or Disagree,Agree,29,29,7,26,12,-19,2,1,11,22,0,23,26,16,-35,26,-2,18,-5,-6,-41,44,18,30,-46,38,37,38,45,46,42,11,41,Slightly Surprised,Surprised,Slightly Surprised,21,50,13,,,,,,,,,,11,31,-17,16,19,22,28,26,-5,19,-34,33,15,17,19,22,-5,33,-30,8,24,31,28,37,I liked that the three topics were very different.,Thinking deeply about AI and things that I normally don't pay much attention to.,5,18,Female,Caucasian/White,Freshman,,91341
2024-09-23 08:57:55,2024-09-23 09:03:35,IP Address,161.130.189.194,100,340,True,2024-09-23 09:03:36,R_6J4WNHnnc8tZvQi,,,,,38.9361,-92.3056,anonymous,EN,Disagree,Neither Agree or Disagree,Agree,Disagree,Agree,Strongly Agree,Neither Agree or Disagree,Agree,Agree,Neither Agree or Disagree,Disagree,Disagree,34,-19,5,22,-17,26,21,22,21,24,-2,42,16,17,13,-9,14,12,16,20,-32,31,5,7,17,25,22,-15,13,3,,,,,,,,,,18,5,-24,Slightly Surprised,Somewhat Surprised,Not Surprised,29,-9,-28,25,12,12,14,14,-10,17,16,16,13,16,18,-26,-19,10,24,-21,-34,18,19,22,17,12,15,I liked the diversity and explanation within the options.,Debating and considering moral ethics and what I believe to be right and wrong.,5,18,Female,Caucasian/White,Freshman,,92515
2024-09-23 10:12:02,2024-09-23 10:18:34,IP Address,52.124.39.169,100,391,True,2024-09-23 10:18:35,R_5KPxzFUaZDNs3iH,,,,,38.9361,-92.3056,anonymous,EN,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neither Agree or Disagree,Disagree,Disagree,Disagree,Disagree,15,15,15,30,-45,40,25,25,25,25,-25,30,16,30,-26,37,26,26,23,24,10,30,20,-20,5,1,-15,-15,-16,-16,,,,,,,,,,-14,5,1,Not Surprised,Somewhat Surprised,Not Surprised,5,-30,0,27,17,-28,35,23,27,31,30,-28,35,-35,21,10,12,12,10,5,-13,4,-8,-25,-23,-23,-21,It was in depth,Some questions seemed a little redundant,7,18,Male,Caucasian/White,Freshman,,91159
2024-09-23 09:58:38,2024-09-23 10:21:35,IP Address,161.130.189.226,100,1376,True,2024-09-23 10:21:36,R_32MQEskEnnc3TxL,,,,,38.9361,-92.3056,anonymous,EN,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Neither Agree or Disagree,Strongly Agree,Agree,Neither Agree or Disagree,Agree,Strongly Agree,-25,-30,40,4,-36,33,28,27,16,21,38,23,-26,25,-33,18,26,50,17,37,-27,48,-21,32,-19,46,34,-10,31,8,31,-20,-9,Not Surprised,Surprised,Somewhat Surprised,42,8,30,,,,,,,,,,-31,8,-29,24,39,32,9,32,40,28,-38,32,50,50,25,50,-41,-16,2,6,18,-12,10,7,"That I got to read about what America's percentage was for different issues. Some were surprising to see. ","I didn't face any challenges while doing this exercise. ",29,18,Female,"Caucasian/White,American Indian/Alaska Native",Freshman,,91630
2024-09-23 10:19:57,2024-09-23 10:32:30,IP Address,161.130.140.59,100,753,True,2024-09-23 10:32:31,R_7XDuhKxg3J56zIt,,,,,38.9361,-92.3056,anonymous,EN,Neither Agree or Disagree,Agree,Strongly Agree,Neither Agree or Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Neither Agree or Disagree,Strongly Disagree,40,30,10,50,-50,31,40,41,40,41,-10,40,-20,30,-50,50,50,50,50,50,-30,35,-30,30,-27,50,40,40,30,35,20,-15,25,Not Surprised,Slightly Surprised,Not Surprised,30,42,10,,,,,,,,,,50,50,-50,50,50,50,50,50,-10,50,-50,40,30,30,50,50,-30,20,-20,30,10,20,20,20,The ethical issues discussed are ones that a lot of people are at least somewhat familiar with.,"If I could type my response to each question, I would have been able to more accurately explain my stance on each issue. ",4,18,Female,Caucasian/White,Freshman,,92302
