"","in_uhc_familiar","in_uhc_change","in_cap_familiar","in_cap_change","in_ai_familiar","in_ai_change","Like_Free_R","Hard_Free_R","Pol_High_1","Age_High","Gender_High","Race_High","School_High","id","conv_cond","consen_cond","utilitarian","deontological","time","uhc_support","cap_support","ai_support","uhc_mconv","cap_mconv","ai_mconv"
"1",29,7,23,26,44,18,"I liked that the three topics were very different.","Thinking deeply about AI and things that I normally don't pay much attention to.",3,18,"Female","Caucasian/White","Freshman","91341","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.83333333333333,2.5,"Pre",29,0,-41,4.42857142857143,11.7142857142857,40
"2",-19,5,42,16,31,5,"I liked the diversity and explanation within the options.","Debating and considering moral ethics and what I believe to be right and wrong.",3,18,"Female","Caucasian/White","Freshman","92515","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.33333333333333,3,"Pre",34,-2,-32,21.8571428571429,8.14285714285714,5.42857142857143
"3",15,15,30,16,30,20,"It was in depth","Some questions seemed a little redundant",5,18,"Male","Caucasian/White","Freshman","91159","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.5,2,"Pre",15,-25,10,30.7142857142857,27.4285714285714,-12.2857142857143
"4",-30,40,23,-26,48,-21,"That I got to read about what America's percentage was for different issues. Some were surprising to see. ","I didn't face any challenges while doing this exercise. ",11,18,"Female","Caucasian/White,American Indian/Alaska Native","Freshman","91630","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.66666666666667,4,"Pre",-25,38,-27,23.5714285714286,29.4285714285714,22.8571428571429
"5",30,10,40,-20,35,-30,"The ethical issues discussed are ones that a lot of people are at least somewhat familiar with.","If I could type my response to each question, I would have been able to more accurately explain my stance on each issue. ",2,18,"Female","Caucasian/White","Freshman","92302","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,2.33333333333333,"Pre",40,-10,-30,41.8571428571429,47.1428571428571,36
"6",10,20,5,9,32,-33,"I liked the topics","The questions were very repetitive ",8,18,"Female","Hispanic/Latino(a)","Freshman","91898","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,3.16666666666667,"Pre",30,20,-50,15.8571428571429,9.85714285714286,23
"7",-38,6,8,-7,17,12,"The essays that I read about to give more in depth knowledge ","How many times the questions were asked ",8,18,"Female","Caucasian/White","Freshman","91449","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.5,3.33333333333333,"Pre",2,18,11,2,5,12.4285714285714
"8",3,-18,-50,5,6,5,"having more options than normal.","deciding on wether ideas are good or bad.",6,18,"Female","Caucasian/White","Freshman","91877","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3,3,"Pre",3,-9,-25,1.85714285714286,-0.428571428571429,0
"9",14,-37,15,-36,33,-15,"Interesting topics","Ethics vs. morals",11,19,"Female","Caucasian/White","Sophmore","91643","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.33333333333333,3,"Pre",-32,50,29,19.1428571428571,14,9.14285714285714
"10",-16,-13,25,-31,30,-19,"I liked that I was able to provide answers based on my own opinions, as well as what I think the general population's opinions are.","A lot of the questions were very similar, and I wasn't completely sure what the difference was between some of them.",3,19,"Female","Caucasian/White","Sophmore","91789","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.5,2.66666666666667,"Pre",24,-36,-24,23.8571428571429,26.1428571428571,24.7142857142857
