"","X","Duration..in.seconds.","Pre_P1","Pre_P2","Pre_P3","Pre_P4","UTIL_1","UTIL_2","UTIL_3","UTIL_4","UTIL_5","UTIL_6","DEON_1","DEON_2","DEON_3","DEON_4","DEON_5","DEON_6","SILS_1_1","NLINE","SNS_SCORE","condition","P1","P2","P3","P4","Suprise_1","Suprise_2","Suprise_3","Suprise_4","GSS_1","GSS_2","GSS_3","GSS_4","CRR_1","CRR_2","CRR_3","CRR_4","Age","Gender","Race","School_Year","Like_Free_Response","Hard_Free_Response"
"1",7,1072,100,88,100,100,5,5,4,3,4,4,2,2,3,3,3,3,4,2.52353774179037,4.625,"High",100,93,89,100,3,1,1,1,100,86,100,100,88,80,98,100,19,2,"1",2,"I enjoyed how we went back and forth from the past with the statements.","The challenges with the exercises I completed was to determine what was true and false."
"2",9,725,100,50,34,100,3,4,5,5,4,5,1,1,2,3,2,1,5,0.939434817813765,3.75,"High",80,45,44,100,1,3,1,1,55,45,34,76,86,90,70,99,22,1,"1",4,"It was plainly agree or disagree on a scale which is easy to show what I think about the issue.","After seeing what other people thought about these issues it influenced a change on what I would have originally put."
"3",12,869,70,86,70,100,4,4,5,4,5,4,1,2,3,4,2,4,2,1.16089684467579,4.75,"High",68,84,53,100,1,1,4,1,46,80,30,100,88,91,94,100,19,1,"1",1,"It shows you the 2018 results so you can see how far off from your guess.","Trying to determine where I felt among some the statements issued."
"4",13,706,61,52,53,100,4,4,4,3,4,4,3,3,2,3,4,3,5,4.33463786389049,3.75,"High",81,62,66,100,3,1,2,1,81,81,67,83,81,78,72,100,19,2,"1,5",3,"Some things I liked was that it made me think about how others feel/felt about the topics listed. It makes you think outside of what you believe/feel.","A change that I had was that I thought about how others felt. It made me look at those topics from a different point of view."
"5",16,365,83,84,0,100,2,5,5,5,5,5,2,4,3,3,4,4,5,4.08247107512371,5.75,"High",85,86,0,100,1,1,5,1,84,83,0,100,88,83,0,100,21,2,"1",4,"I liked how it showed the results and asked how surprised you were","I didn't have any challenged"
"6",18,707,59,100,0,100,4,4,4,3,4,5,1,2,2,2,4,3,4,2.05400478118373,3.375,"High",60,100,0,100,4,4,1,4,20,30,80,25,86,92,45,92,19,2,"5",2,"I liked that after I attempted to predict the average people agreed or disagreed with something that the true results were shown. ","A challenge I had was that some of the topics I did not have a lot of knowledge in so I had to choose neither."
"7",21,829,100,81,20,100,4,4,5,5,4,5,1,2,1,3,2,2,5,1.32766008611272,3.5,"High",100,82,10,100,2,5,4,1,40,10,81,100,100,81,61,100,22,2,"1",5,"I like seeing the actual statistics from the 2018 data. It was suprising and interesting to see what a large population perceived the issues as compared to me. At the time I was 17 so there was probably not as much attention given to those issues when I was that young compared to now; 5 years later. ","I didn't encounter any challenges with this exercise. "
"8",22,485,70,50,30,100,5,5,3,5,3,2,1,1,3,3,3,4,5,1.3749681511471,4.25,"High",70,50,30,100,4,5,5,3,50,50,50,80,50,50,50,80,22,1,"1",4,"I liked that they were relevant questions.","1-100 is hard I think 1-5 or 1-10 would be easier"
"9",25,887,85,35,62,100,4,4,5,3,5,4,2,4,3,2,4,4,4,0.876901484480432,4.25,"High",85,66,66,100,2,3,5,1,60,63,50,100,70,87,80,100,18,2,"1",1,"I liked how all the questions were about different things about society and the earth yet still revolved around people and how these things affect everyone. ","I think it was a little challenging to know what the people in today's society would want because you need to take people on both sides of the argument into consideration. "
"10",27,445,100,100,100,100,5,5,5,5,5,5,3,1,5,2,5,5,5,6.90703648865754,5,"High",100,100,100,100,1,1,1,1,100,100,100,100,100,100,96,100,38,2,"2",4,"It was interesting to see the different percentages after years. ","No challenges "
"11",28,740,91,100,38,100,4,4,4,4,4,5,2,3,2,3,4,3,3,1.21747291305186,5,"High",56,100,41,100,2,3,1,1,87,91,38,100,74,72,49,100,21,1,"1",4,"It opened my eyes to how people in America think about certain topics that are important in today's day and age.","I did not have any challenges."
"12",31,205,48,47,67,64,3,4,3,2,3,4,2,2,5,5,5,4,3,3.12950315532421,3.75,"High",59,54,58,60,2,3,3,3,59,63,66,97,69,63,54,86,18,1,"1",1,"how the questions were phrased","answering without my prior biases"
"13",33,802,65,80,30,90,4,4,4,3,5,5,2,3,3,4,4,4,4,3.1565472655999,4.125,"High",75,90,65,95,3,1,2,4,40,70,55,70,75,85,70,90,18,2,"1,3",1,"I liked how there were results from the 2018 study and I could see what the general population put down as their answer. I also then liked how you asked about the 2023 study to then compare the answers to previous years. ","I couldn't decide if from 2018 these things have changed in positive or negative ways and as time has passed if people would agree or disagree more depending on the age they are and the life experiences they have had. "
"14",35,1108,100,60,70,100,4,3,5,5,4,4,1,2,3,3,4,3,3,0.809733101985734,4.5,"High",86,60,75,100,3,1,4,1,80,86,60,90,93,96,45,100,19,1,"2",2,"I liked that the exercise made me think about a concentrated topic, so I could think deeply about the questions without getting lost in my own train of thought.","The biggest challenge for me was remembering 2018 as I was only in middle school, and in hindsight, my opinions on global matters were only reflections of those around me."
"15",37,849,100,83,65,100,4,4,5,5,5,4,1,2,2,1,3,4,4,1.43575081292976,4.25,"High",88,78,57,100,1,1,3,1,64,80,60,95,76,76,52,98,19,2,"1,5",2,"I liked how comprehensible the statements were and the range of the scale.","Remembering what 2018 was like, it seemed like an eternity ago."
"16",40,357,70,50,67,100,4,4,4,3,5,4,3,3,3,2,4,4,5,1.27355081292976,3.75,"High",79,43,33,100,3,4,4,1,92,100,36,100,92,93,34,100,18,2,"1",1,"I liked the different range of questions and how the results were compared with the recent and old ones. ","I had a hard time knowing what people these days would think about the questions. "
"17",43,971,15,2,100,100,4,4,5,1,2,4,5,5,3,3,3,3,4,3.6953091703618,3.125,"High",5,10,100,100,4,5,2,5,45,4,85,100,75,85,65,100,18,2,"1",1,"I thought that making it about other peoples options plus mine was very unique and inclusion which I loved.","I didn't necessarily feel like I was well educated enough on some of the topics of the questions I was asked. "
