"","Duration..in.seconds.","Pre_P1","Pre_P2","Pre_P3","Pre_P4","UTIL_1","UTIL_2","UTIL_3","UTIL_4","UTIL_5","UTIL_6","DEON_1","DEON_2","DEON_3","DEON_4","DEON_5","DEON_6","Post_Int_1_10","Post_Int_2_1","Post_Int_3_1","Post_Int_4_1","Q114_1","Q114_2","Q114_3","Q114_4","Q116_10","Q117_1","Q118_1","Q119_1","Q121_1","Q121_2","Q121_3","Q121_4","High_Like_Free_R","High_Hard_Free_R","Pol_High_1","Age_High","Gender_High","Race_High","School_High","Q163_10","Q164_1","Q165_1","Q166_1","Q169_1","Q169_2","Q169_3","Q169_4","Q171_10","Q172_1","Q173_1","Q174_1","Q176_1","Q176_2","Q176_3","Q176_4","Low_Like_Free_R","Low_Hard_Free_R","Pol_Low_1","Age_Low","Gender_Low","Race_Low","School_Low","SILS_1_1","NLINE","SNS_SCORE"
"3","557","","","","","5","5","5","5","5","5","5","5","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","10","14","16","12","5","5","5","5","28","22","18","27","","","","","H","H","","18","","","","5",4.57030135595399,2
"4","1348","","","","","5","5","5","5","5","5","5","5","5","5","5","5","52","50","50","52","1","1","1","1","80","82","82","81","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5",4.34542696484802,2.25
"5","1186","","","","","4","4","5","3","4","5","2","2","3","3","2","4","35","83","56","72","3","2","5","2","68","97","42","96","","","","","Seeing the actual percentages of how the public thought in 2018 after making a guess at the percentages from that year.","Thinking back a few years and trying to consider how the public felt about the issues mentioned.","","20","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","2",1.04864250369514,4.25
"6","830","100","100","10","100","5","5","3","4","3","5","3","3","2","3","3","4","","","","","","","","","","","","","","","","","","","","","","","","60","70","40","60","5","1","2","1","60","40","30","100","100","100","1","100","I liked the additional information of what the actual statistics were back in 2018. It gives some insight to what life was actually like back then without the haze of nostalgia. I was in Highschool so those issues weren't as front and center in my life as I remembered (I took my government class in my freshmen year back in 2016 and my US history in 2018). ","COVID really altered what life was like back then. For instance, my friends and I watched a Vine compilation (internet videos before tik tok came to life) and they mentioned movies and pop culture that I viewed were much more recent than it actually was. So, my perception of reality was skewed a bit","","21","1","1","4","5",1.60045236167341,3.625
"7","1072","100","88","100","100","5","5","4","3","4","4","2","2","3","3","3","3","100","86","100","100","3","1","1","1","88","80","98","100","100","93","89","100","I enjoyed how we went back and forth from the past with the statements.","The challenges with the exercises I completed was to determine what was true and false.","","19","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","4",2.52353774179037,4.625
"8","596","70","79","15","100","4","4","4","5","4","4","2","3","2","3","3","4","","","","","","","","","","","","","","","","","","","","","","","","60","80","48","90","4","4","3","1","68","75","30","100","65","70","15","100","I liked hearing about how people of the past responded to these questions.","None","","20","1","1","3","4",0.539177546430178,3.625
"9","725","100","50","34","100","3","4","5","5","4","5","1","1","2","3","2","1","55","45","34","76","1","3","1","1","86","90","70","99","80","45","44","100","It was plainly agree or disagree on a scale which is easy to show what I think about the issue.","After seeing what other people thought about these issues it influenced a change on what I would have originally put.","","22","1","1","4","","","","","","","","","","","","","","","","","","","","","","","","5",0.939434817813765,3.75
"10","691","58","84","0","100","3","4","4","3","4","4","3","2","2","3","2","4","","","","","","","","","","","","","","","","","","","","","","","","29","18","63","0","1","2","1","1","41","45","31","100","54","72","0","100","that it asked me the percentage I thought agreed with the statements and showed me what the actual percentage was because I didn't know.","how the ethical and unethical questions were stated.","","20","2","1","3","3",1.57565373690637,2.125
"11","500","100","100","100","100","4","4","4","4","4","4","2","1","2","4","2","4","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","1","1","2","1","71","53","32","98","99","98","3","83","how the questions were worded","thinking through some of the problems as if I was in someone else's shoes","","18","1","1","1","4",0.745009292461924,5.25
"12","869","70","86","70","100","4","4","5","4","5","4","1","2","3","4","2","4","46","80","30","100","1","1","4","1","88","91","94","100","68","84","53","100","It shows you the 2018 results so you can see how far off from your guess.","Trying to determine where I felt among some the statements issued.","","19","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","2",1.16089684467579,4.75
