"","X","in_uhc_supp","in_uhc_familiar","in_uhc_change","in_cap_supp","in_cap_familiar","in_cap_change","in_ai_supp","in_ai_familiar","in_ai_change","fn_uhc_supp","fn_cap_supp","fn_ai_supp","Like_Free_R","Hard_Free_R","Pol_High_1","Age_High","Gender_High","Race_High","School_High","id","conv_cond","consen_cond","utilitarian","deontological","in_uhc_conviction","in_cap_conviction","in_ai_conviction","fn_uhc_conviction","fn_cap_conviction","fn_ai_conviction","uhc_cat","cap_cat","ai_cat"
"1",1,29,29,7,0,23,26,-41,44,18,11,-5,-5,"I liked that the three topics were very different.","Thinking deeply about AI and things that I normally don't pay much attention to.",1,18,"Female","Caucasian/White","Freshman",91341,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.83333333333333,2.5,4.42857142857143,11.7142857142857,40,22.7142857142857,22.7142857142857,27.2857142857143,"Positive","Neutral","Negative"
"2",2,34,-19,5,-2,42,16,-32,31,5,25,16,-21,"I liked the diversity and explanation within the options.","Debating and considering moral ethics and what I believe to be right and wrong.",1,18,"Female","Caucasian/White","Freshman",92515,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.33333333333333,3,21.8571428571429,8.14285714285714,5.42857142857143,7.28571428571429,0.571428571428571,4.71428571428571,"Positive","Neutral","Negative"
"3",3,15,15,15,-25,30,16,10,30,20,27,-28,5,"It was in depth","Some questions seemed a little redundant",3,18,"Male","Caucasian/White","Freshman",91159,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.5,2,30.7142857142857,27.4285714285714,-12.2857142857143,27.2857142857143,19.2857142857143,-16.7142857142857,"Positive","Negative","Positive"
"4",4,-25,-30,40,38,23,-26,-27,48,-21,-31,40,-41,"That I got to read about what America's percentage was for different issues. Some were surprising to see. ","I didn't face any challenges while doing this exercise. ",9,18,"Female","Caucasian/White,American Indian/Alaska Native","Freshman",91630,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.66666666666667,4,23.5714285714286,29.4285714285714,22.8571428571429,24.7142857142857,39,1.57142857142857,"Negative","Positive","Negative"
"5",5,40,30,10,-10,40,-20,-30,35,-30,50,-10,-30,"The ethical issues discussed are ones that a lot of people are at least somewhat familiar with.","If I could type my response to each question, I would have been able to more accurately explain my stance on each issue. ",2,18,"Female","Caucasian/White","Freshman",92302,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,2.33333333333333,41.8571428571429,47.1428571428571,36,50,42.8571428571429,20,"Positive","Negative","Negative"
"6",6,30,10,20,20,5,9,-50,32,-33,50,50,-20,"I liked the topics","The questions were very repetitive ",6,18,"Female","Hispanic/Latino(a)","Freshman",91898,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,3.16666666666667,15.8571428571429,9.85714285714286,23,17.4285714285714,25.7142857142857,-9.57142857142857,"Positive","Positive","Negative"
"7",7,2,-38,6,18,8,-7,11,17,12,22,33,29,"The essays that I read about to give more in depth knowledge ","How many times the questions were asked ",6,18,"Female","Caucasian/White","Freshman",91449,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.5,3.33333333333333,2,5,12.4285714285714,11.7142857142857,11.7142857142857,19.4285714285714,"Neutral","Positive","Positive"
"8",8,3,3,-18,-9,-50,5,-25,6,5,7,-8,-8,"having more options than normal.","deciding on wether ideas are good or bad.",4,18,"Female","Caucasian/White","Freshman",91877,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3,3,1.85714285714286,-0.428571428571429,0,0,0,0,"Neutral","Negative","Negative"
"9",9,-32,14,-37,50,15,-36,29,33,-15,37,50,37,"Interesting topics","Ethics vs. morals",9,19,"Female","Caucasian/White","Sophmore",91643,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.33333333333333,3,19.1428571428571,14,9.14285714285714,12.2857142857143,18.8571428571429,11.8571428571429,"Negative","Positive","Positive"
"10",10,24,-16,-13,-36,25,-31,-24,30,-19,33,-30,-28,"I liked that I was able to provide answers based on my own opinions, as well as what I think the general population's opinions are.","A lot of the questions were very similar, and I wasn't completely sure what the difference was between some of them.",1,19,"Female","Caucasian/White","Sophmore",91789,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.5,2.66666666666667,23.8571428571429,26.1428571428571,24.7142857142857,28.7142857142857,31,34,"Positive","Negative","Negative"
"11",11,4,-24,21,28,30,-19,-26,33,-16,16,30,9,"I liked the thought out questions","Many of the questions seemed repetitive",3,19,"Female","Caucasian/White","Sophmore",91995,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.5,2.5,19,29.7142857142857,21.1428571428571,18.5714285714286,28.1428571428571,24.5714285714286,"Neutral","Positive","Negative"
"12",12,4,5,-10,-10,4,-9,-21,20,3,-11,-23,-10,"Made me think critically of interesting topics","Reading the essays and letting my opinion slightly change",6,18,"Female","Caucasian/White","Freshman",91649,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,3,11.1428571428571,13.7142857142857,-1.14285714285714,9.14285714285714,21.5714285714286,0.571428571428571,"Neutral","Negative","Negative"
"13",13,50,29,17,-50,21,-34,-39,-10,21,31,-29,21,"The opportunity to explain my thoughts further then just yes and no. ","Going back and forth on my own moral standpoints. ",1,18,"Female","Caucasian/White","Freshman",92326,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.83333333333333,3.66666666666667,19.5714285714286,22.5714285714286,-0.142857142857143,21.8571428571429,41,24.1428571428571,"Positive","Negative","Negative"
"14",14,45,34,-9,-28,35,-15,5,31,30,41,-27,12,"I liked that we got to guess where people in 2018 would score these questions and then we got to read a little bit about the topics. It was also interesting that one of the questions was how open are you to changing your mind.","Sometimes some of the questions about is it moral or not I knew what I believed but was unsure how to represent that on the sliding scale. ",2,19,"Female","Caucasian/White","Sophmore",91104,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.83333333333333,3.16666666666667,31.1428571428571,34.5714285714286,1.28571428571429,31.7142857142857,32.7142857142857,-2.42857142857143,"Positive","Negative","Neutral"
"15",15,16,-30,15,2,9,6,4,3,8,16,8,13,"I liked that it asked if the answer one chose was because of their morals.","I did not understand completely some of the questions.",6,18,"Female","Caucasian/White","Freshman",92172,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.5,3.16666666666667,3.57142857142857,2.42857142857143,0.571428571428571,0,0,3.14285714285714,"Positive","Neutral","Neutral"
"16",16,-20,-42,0,-19,-40,50,-50,43,50,-50,-50,-50,"We got to predict what the Americans thought about AI, Capital Punishment, and health care, and then see what the results were","Really just deciding if my opinions were reflective on my values and morals. Which in certain circumstances, i agree.",4,18,"Female","Caucasian/White,African-American/Black","Freshman",92319,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.16666666666667,1.66666666666667,-16.8571428571429,11.7142857142857,-4.57142857142857,-23,45.8571428571429,12,"Negative","Negative","Negative"
"17",17,25,0,30,-10,10,20,30,50,0,50,24,50,"It made me think about things I usually don't thin about.","I was not very informed about these issues before reading the essays. ",4,18,"Female","Caucasian/White","Freshman",92330,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.66666666666667,2.83333333333333,7.14285714285714,38.5714285714286,8.71428571428571,13.8571428571429,42.7142857142857,24.1428571428571,"Positive","Negative","Positive"
"18",18,45,-1,24,-22,25,-27,-25,34,35,46,19,21,"I liked that they gave statistics about how other Americans feel","I thought the wording about ethics and moral questions was a little confusing. ",4,18,"Female","African-American/Black","Freshman",92378,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.16666666666667,2.33333333333333,10.2857142857143,22.4285714285714,-26.2857142857143,9.71428571428571,47,2.28571428571429,"Positive","Negative","Negative"
"19",19,0,-10,21,29,30,-21,-11,32,-11,20,32,-34,"I liked that it sled me for my opinion before showing me the percentage of what other people thought. ","It was difficult to gauge how the morality of each opinion and how I would put it on my scale. ",5,18,"Female","Caucasian/White","Freshman",92179,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,2.83333333333333,12.8571428571429,27.2857142857143,20.5714285714286,16,27.4285714285714,18.7142857142857,"Neutral","Positive","Negative"
"20",20,20,-10,5,-5,9,5,17,41,-2,13,4,3,"it really tested my thoughts and ideas i had about the topics ","sometimes the questions seemed contradictory",6,18,"Female","African-American/Black","Freshman",91189,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.83333333333333,3.5,12,26.5714285714286,-26.4285714285714,0.142857142857143,-1.57142857142857,-0.142857142857143,"Positive","Negative","Positive"
"21",21,-16,0,11,13,-5,17,24,16,32,19,9,-13,"I liked how it gave you the opportunity to change your answers and opinions on the topic","thinking deeply about the topics to answer the questions",7,18,"Male","Caucasian/White","Freshman",91930,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.83333333333333,2.5,1.85714285714286,10.5714285714286,-6,5.28571428571429,24.2857142857143,3.14285714285714,"Negative","Positive","Positive"
"22",22,15,-25,20,-32,23,-20,-43,30,-26,17,-14,-14,"I liked being able to compare my opinions on the topics of health care, the death penalty, and AI with real percentages from data","None",4,18,"Female","Caucasian/White","Freshman",91990,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.33333333333333,2.16666666666667,19.1428571428571,38,13,4.71428571428571,29.4285714285714,8.14285714285714,"Positive","Negative","Negative"
"23",23,11,-22,15,-10,19,6,-15,20,14,26,-5,10,"Understanding America's view on their stances for certain issues.","No challenges.",4,19,"Male","Caucasian/White","Freshman",92437,"MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.16666666666667,3.5,6,8.71428571428571,6.85714285714286,5,15.4285714285714,-8.42857142857143,"Positive","Negative","Negative"
"24",24,30,-10,-15,-30,30,-13,-21,26,15,35,20,25,"I liked knowing the statistics of each of the topic statements. ","I had challenges with thinking about how most others would rate their agreeing or disagreeing with the statements. ",4,20,"Female","Caucasian/White","Junior",91873,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",4,3,24.4285714285714,22.7142857142857,19.8571428571429,29.5714285714286,26.5714285714286,15.7142857142857,"Positive","Negative","Negative"
"25",25,40,-50,0,-4,20,-7,-31,33,2,40,20,9,"The essays that I read, were interesting to learn about.","Understanding some of the questions and what they were asking, and the percentages to each essay.",3,19,"Female","Caucasian/White","Freshman",92475,"MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.5,3,12.4285714285714,-5.71428571428571,-8.14285714285714,12.7142857142857,-2.42857142857143,-0.714285714285714,"Positive","Neutral","Negative"
"26",26,10,-21,35,-20,-41,40,32,32,13,39,-37,41,"I liked that it ask the questions, then I read the essays, then ask the questions again.","I didn't have any.",2,18,"Female","Caucasian/White","Freshman",91693,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.66666666666667,2.5,-4,17.1428571428571,-21.1428571428571,13.8571428571429,27.5714285714286,5.71428571428571,"Positive","Negative","Positive"
"27",27,10,-28,15,-10,11,11,-31,19,-19,21,-31,-25,"I liked that there was a comparison of data from 2018 to 2024.","I had challenges understanding what some of the statements were implying.",5,19,"Female","Caucasian/White","Freshman",91411,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,2.16666666666667,14.7142857142857,27.7142857142857,6.14285714285714,30.8571428571429,33.8571428571429,16.1428571428571,"Positive","Negative","Negative"
"28",28,43,32,-27,-46,36,-46,-35,37,-28,50,-40,-11,"Finding out public perception","Thinking of ethical issues that I would be willing to compromise on, wording of question asking if there were important ethical aspects to *blank* without supporting the issue.",1,18,"Male","Caucasian/White","Freshman",92420,"PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.66666666666667,2.33333333333333,44.2857142857143,49.2857142857143,22.7142857142857,49.8571428571429,40.7142857142857,21.7142857142857,"Positive","Negative","Negative"
