"","in_uhc_familiar","in_uhc_change","in_cap_familiar","in_cap_change","in_ai_familiar","in_ai_change","Like_Free_R","Hard_Free_R","Pol_High_1","Age_High","Gender_High","Race_High","School_High","id","conv_cond","consen_cond","utilitarian","deontological","time","uhc_support","cap_support","ai_support","uhc_mconv","cap_mconv","ai_mconv"
"1",29,7,23,26,44,18,"I liked that the three topics were very different.","Thinking deeply about AI and things that I normally don't pay much attention to.",1,18,"Female","Caucasian/White","Freshman","91341","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.83333333333333,2.5,"pre",29,0,-41,4.42857142857143,11.7142857142857,40
"2",-19,5,42,16,31,5,"I liked the diversity and explanation within the options.","Debating and considering moral ethics and what I believe to be right and wrong.",1,18,"Female","Caucasian/White","Freshman","92515","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.33333333333333,3,"pre",34,-2,-32,21.8571428571429,8.14285714285714,5.42857142857143
"3",15,15,30,16,30,20,"It was in depth","Some questions seemed a little redundant",3,18,"Male","Caucasian/White","Freshman","91159","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.5,2,"pre",15,-25,10,30.7142857142857,27.4285714285714,-12.2857142857143
"4",-30,40,23,-26,48,-21,"That I got to read about what America's percentage was for different issues. Some were surprising to see. ","I didn't face any challenges while doing this exercise. ",9,18,"Female","Caucasian/White,American Indian/Alaska Native","Freshman","91630","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.66666666666667,4,"pre",-25,38,-27,23.5714285714286,29.4285714285714,22.8571428571429
"5",30,10,40,-20,35,-30,"The ethical issues discussed are ones that a lot of people are at least somewhat familiar with.","If I could type my response to each question, I would have been able to more accurately explain my stance on each issue. ",2,18,"Female","Caucasian/White","Freshman","92302","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4,2.33333333333333,"pre",40,-10,-30,41.8571428571429,47.1428571428571,36
"6",10,20,5,9,32,-33,"I liked the topics","The questions were very repetitive ",6,18,"Female","Hispanic/Latino(a)","Freshman","91898","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,3.16666666666667,"pre",30,20,-50,15.8571428571429,9.85714285714286,23
"7",-38,6,8,-7,17,12,"The essays that I read about to give more in depth knowledge ","How many times the questions were asked ",6,18,"Female","Caucasian/White","Freshman","91449","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.5,3.33333333333333,"pre",2,18,11,2,5,12.4285714285714
"8",3,-18,-50,5,6,5,"having more options than normal.","deciding on wether ideas are good or bad.",4,18,"Female","Caucasian/White","Freshman","91877","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3,3,"pre",3,-9,-25,1.85714285714286,-0.428571428571429,0
"9",14,-37,15,-36,33,-15,"Interesting topics","Ethics vs. morals",9,19,"Female","Caucasian/White","Sophmore","91643","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.33333333333333,3,"pre",-32,50,29,19.1428571428571,14,9.14285714285714
"10",-16,-13,25,-31,30,-19,"I liked that I was able to provide answers based on my own opinions, as well as what I think the general population's opinions are.","A lot of the questions were very similar, and I wasn't completely sure what the difference was between some of them.",1,19,"Female","Caucasian/White","Sophmore","91789","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.5,2.66666666666667,"pre",24,-36,-24,23.8571428571429,26.1428571428571,24.7142857142857
"11",-24,21,30,-19,33,-16,"I liked the thought out questions","Many of the questions seemed repetitive",3,19,"Female","Caucasian/White","Sophmore","91995","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.5,2.5,"pre",4,28,-26,19,29.7142857142857,21.1428571428571
"12",5,-10,4,-9,20,3,"Made me think critically of interesting topics","Reading the essays and letting my opinion slightly change",6,18,"Female","Caucasian/White","Freshman","91649","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,3,"pre",4,-10,-21,11.1428571428571,13.7142857142857,-1.14285714285714
"13",29,17,21,-34,-10,21,"The opportunity to explain my thoughts further then just yes and no. ","Going back and forth on my own moral standpoints. ",1,18,"Female","Caucasian/White","Freshman","92326","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.83333333333333,3.66666666666667,"pre",50,-50,-39,19.5714285714286,22.5714285714286,-0.142857142857143
"14",34,-9,35,-15,31,30,"I liked that we got to guess where people in 2018 would score these questions and then we got to read a little bit about the topics. It was also interesting that one of the questions was how open are you to changing your mind.","Sometimes some of the questions about is it moral or not I knew what I believed but was unsure how to represent that on the sliding scale. ",2,19,"Female","Caucasian/White","Sophmore","91104","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.83333333333333,3.16666666666667,"pre",45,-28,5,31.1428571428571,34.5714285714286,1.28571428571429
"15",-30,15,9,6,3,8,"I liked that it asked if the answer one chose was because of their morals.","I did not understand completely some of the questions.",6,18,"Female","Caucasian/White","Freshman","92172","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-High",3.5,3.16666666666667,"pre",16,2,4,3.57142857142857,2.42857142857143,0.571428571428571
"16",-42,0,-40,50,43,50,"We got to predict what the Americans thought about AI, Capital Punishment, and health care, and then see what the results were","Really just deciding if my opinions were reflective on my values and morals. Which in certain circumstances, i agree.",4,18,"Female","Caucasian/White,African-American/Black","Freshman","92319","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.16666666666667,1.66666666666667,"pre",-20,-19,-50,-16.8571428571429,11.7142857142857,-4.57142857142857
"17",0,30,10,20,50,0,"It made me think about things I usually don't thin about.","I was not very informed about these issues before reading the essays. ",4,18,"Female","Caucasian/White","Freshman","92330","MORALRESPONSIBILITYBLOCK","SocialConsensus-Low",3.66666666666667,2.83333333333333,"pre",25,-10,30,7.14285714285714,38.5714285714286,8.71428571428571
"18",-1,24,25,-27,34,35,"I liked that they gave statistics about how other Americans feel","I thought the wording about ethics and moral questions was a little confusing. ",4,18,"Female","African-American/Black","Freshman","92378","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",4.16666666666667,2.33333333333333,"pre",45,-22,-25,10.2857142857143,22.4285714285714,-26.2857142857143
"19",-10,21,30,-21,32,-11,"I liked that it sled me for my opinion before showing me the percentage of what other people thought. ","It was difficult to gauge how the morality of each opinion and how I would put it on my scale. ",5,18,"Female","Caucasian/White","Freshman","92179","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",3.83333333333333,2.83333333333333,"pre",0,29,-11,12.8571428571429,27.2857142857143,20.5714285714286
"20",-10,5,9,5,41,-2,"it really tested my thoughts and ideas i had about the topics ","sometimes the questions seemed contradictory",6,18,"Female","African-American/Black","Freshman","91189","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.83333333333333,3.5,"pre",20,-5,17,12,26.5714285714286,-26.4285714285714
"21",0,11,-5,17,16,32,"I liked how it gave you the opportunity to change your answers and opinions on the topic","thinking deeply about the topics to answer the questions",7,18,"Male","Caucasian/White","Freshman","91930","MORALRESPONSIBILITYBLOCK","SocialConsensus-High",3.83333333333333,2.5,"pre",-16,13,24,1.85714285714286,10.5714285714286,-6
"22",-25,20,23,-20,30,-26,"I liked being able to compare my opinions on the topics of health care, the death penalty, and AI with real percentages from data","None",4,18,"Female","Caucasian/White","Freshman","91990","PRAGMATIC/PRACTICALBLOCK","SocialConsensus-Low",4.33333333333333,2.16666666666667,"pre",15,-32,-43,19.1428571428571,38,13
